Requirement ,Description ,Guidance,Testing
PCI 03.6.6,"PCI 03.6.6: If manual clear-text cryptographic key-management operations are used,these operations must be managed using split knowledge and dual control. Note: Examples of manual key-management operations include, but are not limited to: key generatio...","Split knowledge and dual control of keys are used to eliminate the possibility of one person having access to the whole key. This control is applicable for manual key-management operations, or where key management is not implemented by the encryption product. 

Split knowledge is a method in which two or more people separately have key components, where each person knows only their own key component, and the individual key components convey no knowledge of the original cryptographic key). 

Dual control requires two or more people to perform a function, and no single person can access or use the authentication materials of another. ","3.6.6.a Verify that manual clear-text key-management procedures specify processes for the use of the following: 

. Split knowledge of keys, such that key components are under the control of at least two people who only have knowledge of their own key components; AND 
. Dual control of keys, such that at least two people are required to perform any key-management operations and no one person has access to the authentication materials (for example, passwords or keys) of another. 

3.6.6 b Interview personnel and/or observe processes to verify that manual clear-text keys are managed with: 

. Split knowledge, AND 
. Dual control "
PCI 03.6.7,PCI 03.6.7: Prevention of unauthorized substitution of cryptographic keys.,The encryption solution should not allow for or accept substitution of keys coming from unauthorized sources or unexpected processes.,"3.6.7.a Verify that key-management procedures specify processes to prevent unauthorized substitution of keys. 

3.6.7.b Interview personnel and/or observe processes to verify that unauthorized substitution of keys is prevented. "
PCI 03.6.8,PCI 03.6.8: Requirement for cryptographic key custodians to formally acknowledge that they understand and accept their key-custodian responsibilities.,This process will help ensure individuals that act as key custodians commit to the key-custodian role and understand and accept the responsibilities.,"3.6.8.a Verify that key-management procedures specify processes for key custodians to acknowledge (in writing or 
electronically) that they understand and accept their key-custodian responsibilities. 

3.6.8.b Observe documentation or other evidence showing that key custodians have acknowledged (in writing or electronically) that they understand and accept their key-
custodian responsibilities. "
PCI 03.7,"PCI 03.7: Ensure that security policies and operational procedures for protecting stored cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and documented operational procedures for managing the secure storage of cardholder data on a continuous basis.,"3.7 Examine documentation interview personnel to verify that security policies and operational procedures for protecting stored cardholder data are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 04,"PCI 04: Encrypt transmission of cardholder data across open, public networks",,
PCI 04.1,"PCI 04.1: Use strong cryptography and security protocols (for example, SSL/TLS, IPSEC, SSH, etc.) to safeguard sensitive cardholder data during transmission over open, public networks, including the following: . Only trusted keys and certificates are a...","Sensitive information must be encrypted during transmission over public networks, because it is easy and common for a malicious individual to intercept and/or divert data while in transit. 

Secure transmission of cardholder data requires using trusted keys/certificates, a secure protocol for transport, and proper encryption strength to encrypt cardholder data. Connection requests from systems that do not support the required 
encryption strength, and that would result in an insecure connection, should not be accepted. 

Note that some protocol implementations (such as SSL v2.0, SSH v1.0 and TLS 1.0) have known vulnerabilities that an attacker can use to gain control of the affected system. Whichever security protocol is used, ensure it is configured to use only secure versions and configurations to prevent use of an insecure connection. For example, TLS 
v1.1, or later, certificates obtained from a 
recognized, public certificate authority and 
supporting only strong encryption, may be 
considered. 

Verifying that certificates are trusted (for example, have not expired and are issued from a trusted source) helps ensure the integrity of the secure connection. 

Generally, the web page URL should begin with ""HTTPS"" and/or the web browser display a padlock icon somewhere in the window of the browser. Many SSL certificate vendors also provide a highly visible verification seal— sometimes referred to as a “security seal,” ""secure site seal,"" or “secure trust seal”)—which may provide the ability to click on the seal to reveal information about the website. ","4.1.a Identify all locations where cardholder data is transmitted or received over open, public networks. Examine documented standards and compare to system configurations to verify the use of security protocols and strong cryptography for all locations. 

4.1.b Review documented policies and procedures to verify processes are specified for the following: 

. For acceptance of only trusted keys and/or certificates 
. For the protocol in use to only support secure versions and configurations (that insecure versions or configurations are not supported) 
. For implementation of proper encryption strength per the encryption methodology in use 

4.1.c Select and observe a sample of inbound and outbound transmissions as they occur to verify that all cardholder data is encrypted with strong cryptography during transit. 

4.1.d Examine keys and certificates to verify that only trusted keys and/or certificates are accepted. 

4.1.e Examine system configurations to verify that the protocol is implemented to use only secure configurations and does not support insecure versions or configurations. 

4.1.f Examine system configurations to verify that the proper encryption strength is implemented for the encryption methodology in use. (Check vendor recommendations/best practices.) 

4.1.g For SSL/TLS implementations, examine system 
configurations to verify that SSL/TLS is enabled whenever cardholder data is transmitted or received. 

For example, for browser-based implementations: 

. “HTTPS” appears as the browser Universal Record 
Locator (URL) protocol, and 
. Cardholder data is only requested if “HTTPS” appears as part of the URL."
PCI 04.1.1,"PCI 04.1.1: Ensure wireless networks transmitting cardholder data or connected to the cardholder data environment, use industry best practices (for example, IEEE 802.11i) to implement strong encryption for authentication and transmission. Note: The use...","Malicious users use free and widely available 
tools to eavesdrop on wireless communications. 
Use of strong cryptography can help limit disclosure of sensitive information across wireless networks. 

Strong cryptography for authentication and transmission of cardholder data is required to prevent malicious users from gaining access to the wireless network or utilizing wireless networks to access other internal networks or data","4.1.1 Identify all wireless networks transmitting cardholder data or connected to the cardholder data environment. Examine documented standards and compare to system configuration settings to verify the following for all wireless networks identified: 

. Industry best practices (for example, IEEE 802.11i) are used to implement strong encryption for authentication and transmission. 
. Weak encryption (for example, WEP, SSL version 2.0 or older) is not used as a security control for authentication or transmission. "
PCI 04.2,"PCI 04.2: Never send unprotected PANs by end-user messaging technologies (for example, e-mail, instant messaging, chat, etc.).","E-mail, instant messaging, and chat can be easily 
intercepted by packet-sniffing during delivery 
across internal and public networks. Do not utilize 
these messaging tools to send PAN unless they 
are configured to provide strong encryption. 
","4.2.a If end-user messaging technologies are used to send cardholder data, observe processes for sending PAN and examine a sample of outbound transmissions as they occur to verify that PAN is rendered unreadable or secured with strong cryptography whenever it is sent via end-user messaging 
technologies. 

4.2.b Review written policies to verify the existence of a policy stating that unprotected PANs are not to be sent via end-user messaging technologies. "
PCI 04.3,"PCI 04.3: Ensure that security policies and operational procedures for encrypting transmissions of cardholder data are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures for managing the secure transmission of cardholder data on a continuous basis,"4.3 Examine documentation interview personnel to verify that security policies and operational procedures for encrypting transmissions of cardholder data are: 

. Documented, 
. In use, and 
. Known to all affected parties."
PCI 05,PCI 05: Protect all systems against malware and regularly update anti-virus software or programs,,
PCI 05.1,PCI 05.1: Deploy anti-virus software on all systems commonly affected by malicious software (particularly personal computers and servers).,"There is a constant stream of attacks using widely published exploits, often called ""zero day"" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. Without an anti-virus solution that is updated regularly, these new forms of malicious software can attack systems, disable a network, or lead to compromise of data.","For a sample of system components including all operating system types commonly affected by malicious software, verify that anti-virus software is deployed if applicable anti-virus technology exists"
PCI 05.1.2,"PCI 05.1.2: For systems considered to be not commonly affected by malicious software, perform periodic evaluations to identify and evaluate evolving malware threats in order to confirm whether such systems continue to not require anti-virus software.","Typically, mainframes, mid-range computers (such as AS/400) and similar systems may not currently be commonly targeted or affected by malware. However, industry trends for malicious software can change quickly, so it is important for organizations to be aware of new malware that might affect their systems—for example, by monitoring vendor security notices and anti-virus news groups to determine whether their systems might be coming under threat from new and evolving malware. 

Trends in malicious software should be included in the identification of new security vulnerabilities, and methods to address new trends should be 
incorporated into the company's configuration standards and protection mechanisms as needed ","5.1.2 Interview personnel to verify that evolving malware threats are monitored and evaluated for systems not currently 
considered to be commonly affected by malicious software, in order to confirm whether such systems continue to not require 
anti-virus software. "
PCI 05.2,"PCI 05.2: Ensure that all anti-virus mechanisms are maintained as follows: . Are kept current, . Perform periodic scans . Generate audit logs which are retained per PCI DSS Requirement 10.7.","Even the best anti-virus solutions are limited in effectiveness if they are not maintained and kept current with the latest security updates, signature 
files, or malware protections. 

Audit logs provide the ability to monitor virus and malware activity and anti-malware reactions. Thus, it is imperative that anti-malware solutions 
be configured to generate audit logs and that these logs be managed in accordance with Requirement 10. ","5.2.a Examine policies and procedures to verify that anti-virus software and definitions are required to be kept up to date. 

5.2.b Examine anti-virus configurations, including the master installation of the software to verify anti-virus mechanisms are: 

. Configured to perform automatic updates, and 
. Configured to perform periodic scans. 

5.2.c Examine a sample of system components, including all operating system types commonly affected by malicious 
software, to verify that: 

. The anti-virus software and definitions are current. 
. Periodic scans are performed. 

5.2.d Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify that: 

. Anti-virus software log generation is enabled, and 
. Logs are retained in accordance with PCI DSS Requirement 10.7."
PCI 05.3,"PCI 05.3: Ensure that anti-virus mechanisms are actively running and cannot be disabled or altered by users, unless specifically authorized by management on a case-by-case basis for a limited time period. Note: Anti-virus solutions may be temporarily d...","Anti-virus that continually runs and is unable to be altered will provide persistent security against malware. 

Use of policy-based controls on all systems to ensure anti-malware protections cannot be altered 
or disabled will help prevent system weaknesses from being exploited by malicious software. 

Additional security measures may also need to be implemented for the period of time during which anti-virus protection is not active—for example, 
disconnecting the unprotected system from the Internet while the anti-virus protection is disabled, and running a full scan after it is re-enabled.","5.3.a Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify the anti-virus software is actively running. 

5.3.b Examine anti-virus configurations, including the master installation of the software and a sample of system components, to verify that the anti-virus software cannot be 
disabled or altered by users. 

5.3.c Interview responsible personnel and observe processes to verify that anti-virus software cannot be disabled or altered by 
users, unless specifically authorized by management on a case-by-case basis for a limited time period. "
PCI 05.4,"PCI 05.4: Ensure that security policies and operational procedures for protecting systems against malware are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures to ensure systems are protected from malware on a continuous basis.,"5.4 Examine documentation and interview personnel to verify that security policies and operational procedures for protecting 
systems against malware are: 

. Documented, 
. In use, and 
. Known to all affected parties. 
"
PCI 06,PCI 06: Develop and maintain secure systems and applications,,
PCI 06.1,"PCI 06.1: Establish a process to identify security vulnerabilities, using reputable outside sources for security vulnerability information, and assign a risk ranking (for example, as “high,” “medium,” or “low”) to newly discovered security vulnerabilit...","The intent of this requirement is that organizations keep up to date with new vulnerabilities that may impact their environment. 

Sources for vulnerability information should be trustworthy and often include vendor websites, industry news groups, mailing list, or RSS feeds. 

Once an organization identifies a vulnerability that could affect their environment, the risk that the 
vulnerability poses must be evaluated and ranked. The organization must therefore have a method in place to evaluate vulnerabilities on an ongoing basis and assign risk rankings to those vulnerabilities. 
This is not achieved by an ASV scan or internal vulnerability scan, rather this requires a process to actively monitor industry sources for vulnerability 
information. 

Classifying the risks (for example, as “high,” “medium,” or “low”) allows organizations to identify, prioritize, and address the highest risk items more quickly and reduce the likelihood that vulnerabilities posing the greatest risk will be exploited. ","6.1.a Examine policies and procedures to verify that processes are defined for the following: 

. To identify new security vulnerabilities 
. To assign a risk ranking to vulnerabilities that includes identification of all “high risk” and “critical” vulnerabilities. 
. To use reputable outside sources for security 
vulnerability information. 

6.1.b Interview responsible personnel and observe processes to verify that: 

. New security vulnerabilities are identified. 
. A risk ranking is assigned to vulnerabilities that includes identification of all “high” risk and “critical” vulnerabilities. 
. Processes to identify new security vulnerabilities include using reputable outside sources for security vulnerability information. "
PCI 06.2,PCI 06.2: Ensure that all system components and software are protected from known vulnerabilities by installing applicable vendor-supplied security patches. Install critical security patches within one month of release. Note: Critical security patches ...,"There is a constant stream of attacks using widely published exploits, often called ""zero day"" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. If the most recent patches are not implemented on critical systems as soon as possible, a malicious individual can use these exploits to attack or disable a system, or gain access to sensitive data. 

Prioritizing patches for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released. Consider prioritizing patch installations such that security patches for critical or at-risk systems are installed within 30 days, and other lower-risk patches are installed within 2-3 months. 

This requirement applies to applicable patches for all installed software.","6.2.a Examine policies and procedures related to security-patch installation to verify processes are defined for: 

. Installation of applicable critical vendor-supplied security patches within one month of release. 
. Installation of all applicable vendor-supplied security patches within an appropriate time frame (for example, within three months). 

6.2.b For a sample of system components and related software, compare the list of security patches installed on each system to the most recent vendor security-patch list, to verify the following: 

. That applicable critical vendor-supplied security patches are installed within one month of release. 
. All applicable vendor-supplied security patches are 
installed within an appropriate time frame (for example, within three months)."
PCI 06.3,"PCI 06.3: Develop internal and external software applications (including web-based administrative access to applications) securely, as follows: . In accordance with PCI DSS (for example, secure authentication and logging) . Based on industry standards and","Without the inclusion of security during the 
requirements definition, design, analysis, and testing phases of software development, security vulnerabilities can be inadvertently or maliciously introduced into the production environment. 

Understanding how sensitive data is handled by the application—including when stored, transmitted, and when in memory—can help identify where data 
needs to be protected.","6.3.a Examine written software-development processes to verify that the processes are based on industry standards and/or best practices. 

6.3.b Examine written software-development processes to verify that information security is included throughout the life cycle. 

6.3.c Examine written software-development processes to verify that software applications are developed in accordance with PCI DSS. 

6.3.d Interview software developers to verify that written software-development processes are implemented. "
PCI 06.3.1,"PCI 06.3.1: Remove development, test and/or custom application accounts, user IDs, and passwords before applications become active or are released to customers.","Development, test and/or custom application accounts, user IDs, and passwords should be removed from production code before the application becomes active or is released to customers, since these items may give away
information about the functioning of the application.  Possession of such information could facilitate compromise of the application and related cardholder data. ","6.3.1 Examine written software-development procedures and interview responsible personnel to verify that pre-production and/or custom application accounts, user IDs and/or passwords are removed before an application goes into production or is released to customers"
PCI 06.3.2,PCI 06.3.2: Review custom code prior to release to production or customers in order to identify any potential coding vulnerability (using either manual or automated processes) to include at least the following: . Code changes are reviewed by individuals o,"Security vulnerabilities in custom code are commonly exploited by malicious individuals to gain access to a network and compromise cardholder data. 

An individual knowledgeable and experienced in code-review techniques should be involved in the review process. Code reviews should be performed by someone other than the developer of the code to allow for an independent, objective review. Automated tools or processes may also be used in lieu of manual reviews, but keep in mind that it may be difficult or even impossible for an automated tool to identify some coding issues. 

Correcting coding errors before the code is deployed into a production environment or released to customers prevents the code exposing the environments to potential exploit. Faulty code is also far more difficult and expensive to address after it has been deployed or released into production environments. 

Including a formal review and signoff by management prior to release helps to ensure that code is approved and has been developed in accordance with policies and procedures. ","6.3.2.a Examine written software-development procedures and interview responsible personnel to verify that all custom application code changes must be reviewed (using either manual or automated processes) as follows: 

. Code changes are reviewed by individuals other than the originating code author, and by individuals who are knowledgeable in code-review techniques and secure coding practices. 
. Code reviews ensure code is developed according to secure coding guidelines (see PCI DSS Requirement 6.5). 
. Appropriate corrections are implemented prior to 
release. 
. Code-review results are reviewed and approved by 
management prior to release. 

6.3.2.b Select a sample of recent custom application 
changes and verify that custom application code is 
reviewed according to 6.3.2.a, above."
PCI 06.4,PCI 06.4: Follow change control processes and procedures for all changes to system components. The processes must include the following:,"Without properly documented and implemented change controls, security features could be inadvertently or deliberately omitted or rendered inoperable, processing irregularities could occur, or malicious code could be introduced.","6.4 Examine policies and procedures to verify the following are defined: 

. Development/test environments are separate from production environments with access control in place to enforce separation. 
. A separation of duties between personnel assigned to the development/test environments and those assigned to the production environment. 
. Production data (live PANs) are not used for testing or development. 
. Test data and accounts are removed before a production system becomes active. 
. Change control procedures related to implementing security patches and software modifications are documented. "
PCI 06.4.1,"PCI 06.4.1: Separate development/test environments from production environments, and enforce the separation with access controls.","Due to the constantly changing state of development and test environments, they tend to be less secure than the production environment. Without adequate separation between environments, it may be possible for the production environment, and cardholder data, to be compromised due to less-stringent security configurations and possible vulnerabilities in a test or development environment. ","6.4.1.a Examine network documentation and network device configurations to verify that the development/test environments are separate from the production environment(s). 

6.4.1.b Examine access controls settings to verify that access controls are in place to enforce separation between the development/test environments and the production environment(s). "
PCI 06.4.2,PCI 06.4.2: Separation of duties between development/test and productionenvironments,"Reducing the number of personnel with access to the production environment and cardholder data minimizes risk and helps ensure that access is limited to those individuals with a business need to 
know. 

The intent of this requirement is to separate development and test functions from production functions. For example, a developer may use an administrator-level account with elevated privileges in the development environment, and have a 
separate account with user-level access to the production environment. ","6.4.2 Observe processes and interview personnel assigned to development/test environments and personnel assigned to production environments to verify that separation of duties is in place between development/test environments and the production environment. 
"
PCI 06.4.3,PCI 06.4.3: Production data (live PANs) are not used for testing or development,Security controls are usually not as stringent in test or development environments. Use of production data provides malicious individuals with the opportunity to gain unauthorized access to production data (cardholder data).,"6.4.3.a Observe testing processes and interview personnel to verify procedures are in place to ensure production data (live PANs) are not used for testing or development.

6.4.3.b Examine a sample of test data to verify production data (live PANs) is not used for testing or development. "
PCI 06.4.4,PCI 06.4.4: Removal of test data and accounts before production systems become active,"Test data and accounts should be removed from production code before the application becomes active, since these items may give away information about the functioning of the application or system. Possession of such information could facilitate compromise of the system and related cardholder data. ","6.4.4.a Observe testing processes and interview personnel to verify test data and accounts are removed before a production system becomes active. 

6.4.4.b Examine a sample of data and accounts from production systems recently installed or updated to verify test data and accounts are removed before the system becomes active. "
PCI 06.4.5,PCI 06.4.5: Change control procedures for the implementation of security patches and software modifications must include the following:,"If not properly managed, the impact of software updates and security patches might not be fully realized and could have unintended consequences.","6.4.5.a Examine documented change control procedures related to implementing security patches and software modifications and verify procedures are defined for: 

. Documentation of impact 
. Documented change approval by authorized parties 
. Functionality testing to verify that the change does not adversely impact the security of the system 
. Back-out procedures 

6.4.5.b For a sample of system components, interview responsible personnel to determine recent changes/security patches. Trace those changes back to related change control documentation. For each change examined, perform the following: "
PCI 06.4.5.1,PCI 06.4.5.1: Documentation of impact.,The impact of the change should be documented so that all affected parties can plan appropriately for any processing changes.,"6.4.5.1 Verify that documentation of impact is included in the change control documentation for each sampled change. 
"
PCI 06.4.5.2,PCI 06.4.5.2: Documented change approval by authorized parties.,Approval by authorized parties indicates that the change is a legitimate and approved change sanctioned by the organization.,6.4.5.2 Verify that documented approval by authorized parties is present for each sampled change.
PCI 06.4.5.3,PCI 06.4.5.3: Functionality testing to verify that the change does not adversely impact the security of the system.,"Thorough testing should be performed to verify that the security of the environment is not reduced by implementing a change. Testing should validate that all existing security controls remain in place, are 
replaced with equally strong controls, or are strengthened after any change to the environment.","6.4.5.3.a For each sampled change, verify that 
functionality testing is performed to verify that the change does not adversely impact the security of the system. 

6.4.5.3.b For custom code changes, verify that all updates are tested for compliance with PCI DSS Requirement 6.5 before being deployed into production. "
PCI 06.4.5.4,PCI 06.4.5.4: Back-out procedures.,"For each change, there should be documented back-out procedures in case the change fails or adversely affects the security of an application or system, to allow the system to be restored back to 
its previous state. 
",6.4.5.4 Verify that back-out procedures are prepared for each sampled change.
PCI 06.5,"PCI 06.5: Address common coding vulnerabilities in software-development processes as follows: . Train developers in secure coding techniques, including how to avoid common coding vulnerabilities, and understanding how sensitive data is handled in memor...","The application layer is high-risk and may be targeted by both internal and external threats. 

Requirements 6.5.1 through 6.5.10 are the minimum controls that should be in place, and organizations should incorporate the relevant secure coding practices as applicable to the particular technology in their environment. 

Application developers should be properly trained to identify and resolve issues related to these (and other) common coding vulnerabilities. Having staff knowledgeable of secure coding guidelines should minimize the number of security vulnerabilities introduced through poor coding practices. Training for developers may be provided in-house or by third 
parties and should be applicable for technology used. 

As industry-accepted secure coding practices change, organizational coding practices and developer training should likewise be updated to address new threats—for example, memory scraping attacks. 

The vulnerabilities identified in 6.5.1 through 6.5.10 provide a minimum baseline. It is up to the organization to remain up to date with vulnerability trends and incorporate appropriate measures into their secure coding practices.","6.5.a Examine software-development policies and procedures to verify that training in secure coding techniques is required for developers, based on industry best practices and guidance.

6.5.b Interview a sample of developers to verify that they are knowledgeable in secure coding techniques. 

6.5.c Examine records of training to verify that software developers received training on secure coding techniques, including how to avoid common coding vulnerabilities, and understanding how sensitive data is handled in memory. 

6.5.d. Verify that processes are in place to protect applications from, at a minimum, the following vulnerabilities: 

Note: Requirements 6.5.1 through 6.5.6, below, apply to all applications (internal or external). "
PCI 06.5.1,"PCI 06.5.1: Injection flaws, particularly SQL injection. Also consider OS Command Injection, LDAP and XPath injection flaws as well as other injection flaws.","Injection flaws, particularly SQL injection, are a commonly used method for compromising applications. Injection occurs when user-supplied data is sent to an interpreter as part of a command or query. The attacker's hostile data tricks the interpreter into executing unintended commands or changing data, and allows the attacker to attack components inside the network through the application, to initiate attacks such as buffer overflows, or to reveal both confidential information 
and server application functionality. 

Information should be validated before being sent to the application—for example, by checking for all alpha characters, mix of alpha and numeric characters, etc. 
","6.5.1 Examine software-development policies and procedures and interview responsible personnel to verify that injection flaws are addressed by coding techniques that include: 

. Validating input to verify user data cannot modify 
meaning of commands and queries. 
. Utilizing parameterized queries. 
"
PCI 06.5.10,"PCI 06.5.10: Broken authentication and session management Note: Requirement 6.5.10: is a best practice until June 30, 2015, after which it becomes a requirement.","Secure authentication and session management prevents unauthorized individuals from compromising legitimate account credentials, keys, or session tokens that would otherwise enable the intruder to assume the identity of an authorized 
user.","6.5.10 Examine software development policies and procedures and interview responsible personnel to verify that broken authentication and session management are addressed via coding techniques that commonly include: 

. Flagging session tokens (for example cookies) as “secure” 
. Not exposing session IDs in the URL 
. Incorporating appropriate time-outs and rotation of session IDs after a successful login. 
"
PCI 06.5.2,PCI 06.5.2: Buffer overflows,"Buffer overflows occur when an application does not have appropriate bounds checking on its buffer space. This can cause the information in the buffer to be pushed out of the buffer’s memory space and into executable memory space. When this occurs, the attacker has the ability to insert malicious code at the end of the buffer and then push that malicious code into executable memory space by overflowing the buffer. The malicious code is then executed and often enables the attacker remote access to the application and/or infected system.","6.5.2 Examine software-development policies and procedures and interview responsible personnel to verify that buffer overflows are addressed by coding techniques that include: 

. Validating buffer boundaries. 
. Truncating input strings. "
PCI 06.5.3,PCI 06.5.3: Insecure cryptographic storage,"Applications that do not utilize strong cryptographic functions properly to store data are at increased risk of being compromised, and exposing authentication credentials and/or cardholder data. If an attacker is able to exploit weak cryptographic processes, they may be able to gain clear-text access to encrypted data. ","6.5.3 Examine software-development policies and procedures and interview responsible personnel to verify that insecure cryptographic storage is addressed by coding techniques that: 

. Prevent cryptographic flaws. 
. Use strong cryptographic algorithms and keys. "
PCI 06.5.4,PCI 06.5.4: Insecure communications,"Applications that fail to adequately encrypt network traffic using strong cryptography are at increased risk of being compromised and exposing cardholder data. If an attacker is able to exploit weak cryptographic processes, they may be able to gain control of an application or even gain clear-text access to encrypted data. ",6.5.4 Examine software-development policies and procedures and interview responsible personnel to verify that insecure communications are addressed by coding techniques that properly authenticate and encrypt all sensitive communications.
PCI 06.5.5,PCI 06.5.5: Improper error handling,"6.5.5 Examine software-development policies and procedures and interview responsible personnel to verify that improper error handling is addressed by coding techniques that do not leak information via error messages (for example, by returning generic rather than specific error details. ","6.5.5 Examine software-development policies and procedures and interview responsible personnel to verify that improper error handling is addressed by coding techniques that do not leak information via error messages (for example, by returning generic rather than specific error details. "
PCI 06.5.6,PCI 06.5.6: All “high risk” vulnerabilities identified in the vulnerability identification process (as defined in PCI DSS Requirement 6.1).,"All vulnerabilities identified by an organization’s vulnerability risk-ranking process (defined in Requirement 6.1) to be “high risk” and that could affect the application should be identified and addressed during application development. 

","6.5.6 Examine software-development policies and procedures and interview responsible personnel to verify that coding techniques address any “high risk” vulnerabilities that could affect the application, as identified in PCI DSS Requirement 6.1.

Note: Requirements 6.5.7 through 6.5.10, below, apply to web applications and application interfaces (internal or external):"
PCI 06.5.7,PCI 06.5.7: Cross-site scripting (XSS),"XSS flaws occur whenever an application takes user-supplied data and sends it to a web browser without first validating or encoding that content. XSS allows attackers to execute script in the victim's browser, which can hijack user sessions, deface web sites, possibly introduce worms, etc. ","6.5.7 Examine software-development policies and procedures and interview responsible personnel to verify that cross-site scripting (XSS) is addressed by coding techniques that include 

. Validating all parameters before inclusion 
. Utilizing context-sensitive escaping. "
PCI 06.5.8,"PCI 06.5.8: Improper access control (such as insecure direct object references, failure to restrict URL access, directory traversal, and failure to restrict user access to functions).","A direct object reference occurs when a developer exposes a reference to an internal implementation object, such as a file, directory, database record, or key, as a URL or form parameter. Attackers can manipulate those references to access other objects without authorization. 

Consistently enforce access control in presentation layer and business logic for all URLs. Frequently, the only way an application protects sensitive functionality is by preventing the display of links or URLs to unauthorized users. Attackers can use this weakness to access and perform unauthorized operations by accessing those URLs directly. 

An attacker may be able to enumerate and navigate the directory structure of a website (directory traversal) thus gaining access to unauthorized information as well as gaining further insight into the workings of the site for later exploitation. 

If user interfaces permit access to unauthorized functions, this access could result in unauthorized individuals gaining access to privileged credentials or cardholder data. Only authorized users should be permitted to access direct object references to sensitive resources. Limiting access to data resources will help prevent cardholder data from being presented to unauthorized resources. ","6.5.8 Examine software-development policies and procedures and interview responsible personnel to verify that improper access control—such as insecure direct object references, failure to restrict URL access, and directory traversal—is addressed by coding technique that includes: 

. Proper authentication of users 
. Sanitizing input 
. Not exposing internal object references to users 
. User interfaces that do not permit access to 
unauthorized functions. "
PCI 06.5.9,PCI 06.5.9: Cross-site request forgery (CSRF),"A CSRF attack forces a logged-on victim's browser to send a pre-authenticated request to a vulnerable web application, which then enables the attacker to perform any state-changing operations the victim is authorized to perform (such as updating account details, making purchases, or even authenticating to the application). 
",6.5.9 Examine software development policies and procedures and interview responsible personnel to verify that cross-site request forgery (CSRF) is addressed by coding techniques that ensure applications do not rely on authorization credentials and tokens automatically submitted by browsers.
PCI 06.6,"PCI 06.6: For public-facing web applications, address new threats and vulnerabilities on an ongoing basis and ensure these applications are protected against known attacks by either of the following methods: . Reviewing public-facing web applications v...","Public-facing web applications are primary targets for attackers, and poorly coded web applications provide an easy path for attackers to gain access to sensitive data and systems. The requirement for 
reviewing applications or installing web-application firewalls is intended to reduce the number of compromises on public-facing web applications due to poor coding or application management practices. 

. Manual or automated vulnerability security assessment tools or methods review and/or test the application for vulnerabilities 
. Web-application firewalls filter and block non-essential traffic at the application layer. Used in conjunction with a network-based firewall, a properly configured web-application firewall prevents application-layer attacks if applications are improperly coded or configured. 

Note: “An organization that specializes in application security” can be either a third-party company or an internal organization, as long as the reviewers specialize in application security and can demonstrate independence from the development team.","6.6 For public-facing web applications, ensure that either one of the following methods is in place as follows: 

. Examine documented processes, interview personnel, and examine records of application security assessments to verify that public-facing web applications are reviewed—using either manual or automated vulnerability security assessment tools or methods—as follows: 
- At least annually 
- After any changes 
- By an organization that specializes in application security 
- That, at a minimum, all vulnerabilities in 
Requirement 6.5 are included in the assessment 
- That all vulnerabilities are corrected 
- That the application is re-evaluated after the 
corrections. 
. Examine the system configuration settings and interview responsible personnel to verify that an automated technical solution that detects and prevents web-based attacks (for example, a web-application firewall) is in place as follows: 
- Is situated in front of public-facing web applications to detect and prevent web-based attacks. 
- Is actively running and up to date as applicable. 
- Is generating audit logs. 
- Is configured to either block web-based attacks, or generate an alert. "
PCI 06.7,"PCI 06.7: Ensure that security policies and operational procedures for developing and maintaining secure systems and applications are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures to ensure systems and applications are securely developed and protected from vulnerabilities on a continuous basis.,"6.7 Examine documentation and interview personnel to verify that security policies and operational procedures for developing and maintaining secure systems and applications are: 

. Documented, 
. In use, and 
. Known to all affected parties. "
PCI 07,PCI 07: Restrict access to cardholder data by business need to know,,
PCI 07.1,PCI 07.1: Limit access to system components and cardholder data to only those individuals whose job requires such access.,"The more people who have access to cardholder data, the more risk there is that a user’s account will be used maliciously. Limiting access to those with a legitimate business reason for the access helps an 
organization prevent mishandling of cardholder data through inexperience or malice. ","7.1 Examine written policy for access control, and verify that the policy incorporates 7.1.1 through 7.1.4 as follows: 

. Defining access needs and privilege assignments for each role 
. Restriction of access to privileged user IDs to least privileges necessary to perform job responsibilities 
. Assignment of access based on individual personnel’s job classification and function 
. Documented approval (electronically or in writing) by authorized parties for all access, including listing of specific privileges approved. "
